"Izdatki gospodinjstev za koncno potro?njo po vrsti proizvodov in namenu, Slovenija, letno",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSAKCIJE,MERITVE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"..Elektrika, plin in druga goriva",Stalne cene predhodnega leta (mio EUR),...,308.3,335.2,399.5,451.6,500.5,578.8,646.1,676.2,733.4,781.9,853.0,913.7,1004.0,1253.6,1167.2,1288.3,1384.9,1353.4,1321.6,1312.1,1304.0,1245.4,1251.2,...
"..Elektrika, plin in druga goriva","Stalne cene, referencno leto 2010 (mio EUR)",910.8,994.5,988.4,1007.3,1058.0,1043.6,1052.8,1071.6,1097.6,1145.2,1153.2,1129.6,1122.5,1178.4,1312.0,1344.2,1288.3,1245.5,1151.6,1099.7,1097.7,1138.6,1124.7,1104.8,...
"..Elektrika, plin in druga goriva",Letna sprememba obsega (%),...,9.2,-0.6,1.9,5.0,-1.4,0.9,1.8,2.4,4.3,0.7,-2.1,-0.6,5.0,11.3,2.5,-4.2,-3.3,-7.5,-4.5,-0.2,3.7,-1.2,-1.8,...
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev",Tekoce cene (mio EUR),371.5,409.5,458.2,500.6,577.3,651.7,726.9,796.5,855.2,900.2,968.1,993.0,1131.2,1146.7,1268.1,1378.3,1330.8,1201.5,1096.4,1113.6,1043.4,1114.2,1157.2,1226.1,...
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),5.8,5.6,5.5,5.6,5.7,6.0,6.0,6.0,5.9,5.9,6.0,5.9,6.1,5.7,6.2,6.5,6.1,5.5,5.1,5.1,4.7,4.9,4.9,4.9,-
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev",Stalne cene predhodnega leta (mio EUR),...,386.2,433.3,475.9,560.5,630.7,676.7,749.2,814.0,876.2,935.6,956.2,1084.5,1083.1,1223.1,1368.8,1300.6,1199.4,1103.5,1130.1,1057.6,1114.9,1164.7,1224.8,...
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev","Stalne cene, referencno leto 2010 (mio EUR)",712.1,740.3,783.4,813.7,911.2,995.4,1033.5,1065.1,1088.4,1115.1,1158.9,1144.7,1250.2,1197.0,1276.9,1378.3,1300.6,1172.2,1076.5,1109.5,1053.7,1126.0,1177.0,1245.8,...
"Pohi?tvo, gospodinjska oprema in tekoce vzdr?evanje gospodinjstev",Letna sprememba obsega (%),...,4.0,5.8,3.9,12.0,9.2,3.8,3.1,2.2,2.5,3.9,-1.2,9.2,-4.3,6.7,7.9,-5.6,-9.9,-8.2,3.1,-5.0,6.9,4.5,5.8,...
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge",Tekoce cene (mio EUR),100.8,111.7,125.8,143.4,179.5,207.7,234.6,264.5,279.9,293.7,311.5,317.4,362.7,379.2,428.0,488.8,413.9,363.7,321.3,351.5,305.8,336.6,349.4,386.2,...
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge",Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.6,1.5,1.5,1.6,1.8,1.9,1.9,2.0,1.9,1.9,1.9,1.9,1.9,1.9,2.1,2.3,1.9,1.7,1.5,1.6,1.4,1.5,1.5,1.5,-
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge",Stalne cene predhodnega leta (mio EUR),...,103.2,120.0,133.7,171.5,204.9,216.8,241.0,266.1,283.6,296.0,305.8,343.7,351.6,410.2,480.3,399.2,367.8,327.3,357.2,312.6,336.7,349.0,380.1,...
"..Pohi?tvo in druga stanovanjska oprema, preproge in druge talne obloge","Stalne cene, referencno leto 2010 (mio EUR)",222.0,227.4,244.4,259.7,310.6,354.5,370.2,380.2,382.6,387.6,390.6,383.5,415.3,402.6,435.5,488.8,399.2,354.8,319.3,355.0,315.7,347.6,360.5,392.2,...
